doi,URL,Volume,Publication Number,Article Type,Version Number,Submission date,Prepub Checks With Authors,Author Revisions Received,Sent To Typesetters,Pdf Proofs To Authors,Published,Referee Report 1,Referee Report 2,Referee Report 3,Referee Report 4,Indexed,Referee Status,Article Length
10.12688/wellcomeopenres.12617.1,https://wellcomeopenresearch.org/articles/2-96/v1,2,96,RESEARCH_ARTICLE,1,07/09/2017,11/09/2017,15/09/2017,26/09/2017,28/09/2017,02/10/2017,05/10/2017,NA,NA,NA,NA,"A1, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12871.1,https://wellcomeopenresearch.org/articles/2-104/v1,2,104,RESEARCH_ARTICLE,1,05/10/2017,09/10/2017,10/10/2017,18/10/2017,23/10/2017,26/10/2017,15/11/2017,NA,NA,NA,NA,"A1, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.12613.1,https://wellcomeopenresearch.org/articles/2-99/v1,2,99,RESEARCH_ARTICLE,1,05/09/2017,07/09/2017,02/10/2017,05/10/2017,09/10/2017,10/10/2017,07/11/2017,NA,NA,NA,NA,"A0, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.11910.2,https://wellcomeopenresearch.org/articles/2-50/v2,2,50,RESEARCH_ARTICLE,2,08/11/2017,NA,NA,14/11/2017,16/11/2017,NA,28/07/2017,17/08/2017,01/09/2017,NA,01/09/2017,"A1, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.11466.2,https://wellcomeopenresearch.org/articles/2-37/v2,2,37,STUDY_PROTOCOL,2,07/11/2017,NA,NA,08/11/2017,09/11/2017,16/11/2017,26/06/2017,27/06/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.11087.1,https://wellcomeopenresearch.org/articles/2-19/v1,2,19,METHOD_ARTICLE,1,03/03/2017,06/03/2017,07/03/2017,09/03/2017,14/03/2017,15/03/2017,06/04/2017,09/05/2017,NA,NA,09/05/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12869.1,https://wellcomeopenresearch.org/articles/2-105/v1,2,105,RESEARCH_ARTICLE,1,05/10/2017,09/10/2017,NA,17/10/2017,20/10/2017,27/10/2017,30/10/2017,NA,NA,NA,NA,"A0, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12773.1,https://wellcomeopenresearch.org/articles/2-108/v1,2,108,STUDY_PROTOCOL,1,27/09/2017,28/09/2017,NA,30/10/2017,01/11/2017,06/11/2017,NA,NA,NA,NA,NA,"A0, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12841.1,https://wellcomeopenresearch.org/articles/2-107/v1,2,107,RESEARCH_ARTICLE,1,03/10/2017,05/10/2017,16/10/2017,23/10/2017,24/10/2017,06/11/2017,NA,NA,NA,NA,NA,"A0, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12052.2,https://wellcomeopenresearch.org/articles/2-53/v2,2,53,RESEARCH_ARTICLE,2,06/11/2017,NA,NA,06/11/2017,07/11/2017,09/11/2017,25/09/2017,18/10/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
